PartyID,PoliticalPartyName,PostName,tot_cand,tot_win_cand,tot_lead_cand,tot_trail_cand,SerialNo
6,"मधेशी जनअधिकार फोरम, नेपाल (लोकतान्त्रिक)",सदस्य,939,112,0,0,48
9,नेपाल कम्युनिष्ट पार्टी (मार्क्सवादी–लेनिनवादी),प्रमुख,19,0,0,0,49
9,नेपाल कम्युनिष्ट पार्टी (मार्क्सवादी–लेनिनवादी),उपप्रमुख,13,0,0,0,50
9,नेपाल कम्युनिष्ट पार्टी (मार्क्सवादी–लेनिनवादी),अध्यक्ष,12,0,0,0,51
9,नेपाल कम्युनिष्ट पार्टी (मार्क्सवादी–लेनिनवादी),उपाध्यक्ष,6,0,0,0,52
9,नेपाल कम्युनिष्ट पार्टी (मार्क्सवादी–लेनिनवादी),वडा अध्यक्ष,59,1,0,1,53
9,नेपाल कम्युनिष्ट पार्टी (मार्क्सवादी–लेनिनवादी),महिला सदस्य,27,1,0,1,54
9,नेपाल कम्युनिष्ट पार्टी (मार्क्सवादी–लेनिनवादी),दलित महिला सदस्य,14,1,0,1,55
9,नेपाल कम्युनिष्ट पार्टी (मार्क्सवादी–लेनिनवादी),सदस्य,70,1,0,0,56
10,राष्ट्रिय जनमोर्चा ,प्रमुख,55,0,0,2,57
10,राष्ट्रिय जनमोर्चा ,उपप्रमुख,43,0,0,0,58
10,राष्ट्रिय जनमोर्चा ,अध्यक्ष,52,2,0,1,59
10,राष्ट्रिय जनमोर्चा ,उपाध्यक्ष,35,2,0,2,60
10,राष्ट्रिय जनमोर्चा ,वडा अध्यक्ष,401,18,0,25,61
10,राष्ट्रिय जनमोर्चा ,महिला सदस्य,276,21,0,14,62
10,राष्ट्रिय जनमोर्चा ,दलित महिला सदस्य,209,21,0,15,63
10,राष्ट्रिय जनमोर्चा ,सदस्य,543,47,0,0,64
11,नेपाल कम्युनिष्ट पार्टी (संयुक्त),प्रमुख,5,0,0,0,65
11,नेपाल कम्युनिष्ट पार्टी (संयुक्त),उपप्रमुख,4,0,0,0,66
11,नेपाल कम्युनिष्ट पार्टी (संयुक्त),अध्यक्ष,4,0,0,0,67
11,नेपाल कम्युनिष्ट पार्टी (संयुक्त),उपाध्यक्ष,1,0,0,0,68
11,नेपाल कम्युनिष्ट पार्टी (संयुक्त),वडा अध्यक्ष,12,0,0,0,69
11,नेपाल कम्युनिष्ट पार्टी (संयुक्त),महिला सदस्य,5,0,0,0,70
11,नेपाल कम्युनिष्ट पार्टी (संयुक्त),दलित महिला सदस्य,5,0,0,0,71
11,नेपाल कम्युनिष्ट पार्टी (संयुक्त),सदस्य,13,0,0,0,72
13,नेपाल मजदुर किसान पार्टी ,प्रमुख,11,0,0,0,73
13,नेपाल मजदुर किसान पार्टी ,उपप्रमुख,6,0,0,0,74
13,नेपाल मजदुर किसान पार्टी ,अध्यक्ष,8,0,0,0,75
13,नेपाल मजदुर किसान पार्टी ,उपाध्यक्ष,3,0,0,0,76
13,नेपाल मजदुर किसान पार्टी ,वडा अध्यक्ष,34,0,0,0,77
13,नेपाल मजदुर किसान पार्टी ,महिला सदस्य,16,0,0,0,78
13,नेपाल मजदुर किसान पार्टी ,दलित महिला सदस्य,10,0,0,0,79
13,नेपाल मजदुर किसान पार्टी ,सदस्य,29,0,0,0,80
16,नेपाल परिवार दल ,प्रमुख,9,0,0,0,81
16,नेपाल परिवार दल ,उपप्रमुख,6,0,0,0,82
16,नेपाल परिवार दल ,अध्यक्ष,2,0,0,0,83
16,नेपाल परिवार दल ,उपाध्यक्ष,2,0,0,0,84
16,नेपाल परिवार दल ,वडा अध्यक्ष,25,0,0,0,85
16,नेपाल परिवार दल ,महिला सदस्य,8,0,0,0,86
16,नेपाल परिवार दल ,दलित महिला सदस्य,13,0,0,0,87
16,नेपाल परिवार दल ,सदस्य,21,0,0,0,88
17,बहुजन शक्ति पार्टी ,प्रमुख,6,0,0,0,89
17,बहुजन शक्ति पार्टी ,उपप्रमुख,3,0,0,0,90
17,बहुजन शक्ति पार्टी ,अध्यक्ष,9,0,0,0,91
17,बहुजन शक्ति पार्टी ,उपाध्यक्ष,7,0,0,0,92
17,बहुजन शक्ति पार्टी ,वडा अध्यक्ष,83,7,0,9,93
17,बहुजन शक्ति पार्टी ,महिला सदस्य,63,7,0,9,94
17,बहुजन शक्ति पार्टी ,दलित महिला सदस्य,68,9,0,10,95
17,बहुजन शक्ति पार्टी ,सदस्य,134,14,0,0,96
18,अखण्ड नेपाल पार्टी,प्रमुख,1,0,0,0,97
21,"खम्वुवान राष्ट्रिय मोर्चा, नेपाल ",प्रमुख,9,0,0,0,98
21,"खम्वुवान राष्ट्रिय मोर्चा, नेपाल ",उपप्रमुख,7,0,0,0,99
21,"खम्वुवान राष्ट्रिय मोर्चा, नेपाल ",अध्यक्ष,5,0,0,0,100
21,"खम्वुवान राष्ट्रिय मोर्चा, नेपाल ",उपाध्यक्ष,4,0,0,0,101
21,"खम्वुवान राष्ट्रिय मोर्चा, नेपाल ",वडा अध्यक्ष,23,0,0,0,102
21,"खम्वुवान राष्ट्रिय मोर्चा, नेपाल ",महिला सदस्य,16,0,0,0,103
21,"खम्वुवान राष्ट्रिय मोर्चा, नेपाल ",दलित महिला सदस्य,13,0,0,0,104
21,"खम्वुवान राष्ट्रिय मोर्चा, नेपाल ",सदस्य,29,0,0,0,105
22,जनजागरण पार्टी नेपाल,प्रमुख,6,0,0,0,106
22,जनजागरण पार्टी नेपाल,उपप्रमुख,5,0,0,0,107
22,जनजागरण पार्टी नेपाल,अध्यक्ष,3,0,0,0,108
22,जनजागरण पार्टी नेपाल,उपाध्यक्ष,1,0,0,0,109
22,जनजागरण पार्टी नेपाल,वडा अध्यक्ष,17,0,0,0,110
22,जनजागरण पार्टी नेपाल,महिला सदस्य,10,0,0,0,111
22,जनजागरण पार्टी नेपाल,दलित महिला सदस्य,5,0,0,0,112
22,जनजागरण पार्टी नेपाल,सदस्य,19,0,0,0,113
25,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च (थरुहट),वडा अध्यक्ष,9,0,0,0,114
25,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च (थरुहट),महिला सदस्य,4,0,0,0,115
25,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च (थरुहट),सदस्य,11,0,0,0,116
30,चुरेभावर लोकतान्त्रिक पार्टी,प्रमुख,1,0,0,0,117
30,चुरेभावर लोकतान्त्रिक पार्टी,उपप्रमुख,1,0,0,0,118
31,"राष्ट्रिय मुक्ति आन्दोलन, नेपाल ",प्रमुख,1,0,0,0,119
31,"राष्ट्रिय मुक्ति आन्दोलन, नेपाल ",उपप्रमुख,1,0,0,0,120
31,"राष्ट्रिय मुक्ति आन्दोलन, नेपाल ",वडा अध्यक्ष,3,0,0,0,121
31,"राष्ट्रिय मुक्ति आन्दोलन, नेपाल ",महिला सदस्य,2,0,0,0,122
31,"राष्ट्रिय मुक्ति आन्दोलन, नेपाल ",दलित महिला सदस्य,3,0,0,0,123
31,"राष्ट्रिय मुक्ति आन्दोलन, नेपाल ",सदस्य,3,0,0,0,124
34,नेपाल समावेशी पार्टी,प्रमुख,1,0,0,0,125
35,नेपाल जनता पार्टी,प्रमुख,1,0,0,0,126
35,नेपाल जनता पार्टी,उपप्रमुख,1,0,0,0,127
35,नेपाल जनता पार्टी,अध्यक्ष,1,0,0,0,128
35,नेपाल जनता पार्टी,वडा अध्यक्ष,4,0,0,0,129
35,नेपाल जनता पार्टी,महिला सदस्य,1,0,0,0,130
35,नेपाल जनता पार्टी,सदस्य,5,0,0,0,131
38,नेपाल कम्युनिष्ट पार्टी (माक्र्सवादी),प्रमुख,2,0,0,0,132
38,नेपाल कम्युनिष्ट पार्टी (माक्र्सवादी),उपप्रमुख,1,0,0,0,133
38,नेपाल कम्युनिष्ट पार्टी (माक्र्सवादी),अध्यक्ष,1,0,0,0,134
38,नेपाल कम्युनिष्ट पार्टी (माक्र्सवादी),वडा अध्यक्ष,4,0,0,0,135
38,नेपाल कम्युनिष्ट पार्टी (माक्र्सवादी),महिला सदस्य,2,0,0,0,136
38,नेपाल कम्युनिष्ट पार्टी (माक्र्सवादी),दलित महिला सदस्य,2,0,0,0,137
38,नेपाल कम्युनिष्ट पार्टी (माक्र्सवादी),सदस्य,4,0,0,0,138
41,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,प्रमुख,10,0,0,0,139
41,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,उपप्रमुख,8,0,0,0,140
41,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,अध्यक्ष,21,0,0,0,141
41,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,उपाध्यक्ष,14,0,0,1,142
41,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,वडा अध्यक्ष,86,1,0,1,143
41,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,महिला सदस्य,66,1,0,0,144
41,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,दलित महिला सदस्य,27,1,0,0,145
41,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,सदस्य,176,4,0,0,146
46,बहुजन समाज पार्टी नेपाल,अध्यक्ष,1,0,0,0,147
46,बहुजन समाज पार्टी नेपाल,उपाध्यक्ष,1,0,0,0,148
46,बहुजन समाज पार्टी नेपाल,वडा अध्यक्ष,1,0,0,0,149
46,बहुजन समाज पार्टी नेपाल,महिला सदस्य,1,0,0,0,150
46,बहुजन समाज पार्टी नेपाल,दलित महिला सदस्य,1,0,0,0,151
46,बहुजन समाज पार्टी नेपाल,सदस्य,1,0,0,0,152
50,लोक दल,वडा अध्यक्ष,1,0,0,0,153
50,लोक दल,सदस्य,1,0,0,0,154
51,देशभक्त समाज,वडा अध्यक्ष,1,0,0,0,155
51,देशभक्त समाज,दलित महिला सदस्य,1,0,0,0,156
51,देशभक्त समाज,सदस्य,2,0,0,0,157
61,राष्ट्रिय जनमुक्ति पार्टी,प्रमुख,24,0,0,0,158
61,राष्ट्रिय जनमुक्ति पार्टी,उपप्रमुख,22,0,0,1,159
61,राष्ट्रिय जनमुक्ति पार्टी,अध्यक्ष,18,0,0,0,160
61,राष्ट्रिय जनमुक्ति पार्टी,उपाध्यक्ष,14,0,0,0,161
61,राष्ट्रिय जनमुक्ति पार्टी,वडा अध्यक्ष,150,1,0,6,162
61,राष्ट्रिय जनमुक्ति पार्टी,महिला सदस्य,127,2,0,12,163
61,राष्ट्रिय जनमुक्ति पार्टी,दलित महिला सदस्य,71,2,0,4,164
61,राष्ट्रिय जनमुक्ति पार्टी,सदस्य,255,5,0,0,165
63,चुरेभावर राष्ट्रिय एकता पार्टी नेपाल,प्रमुख,1,0,0,0,166
67,नेपाल दलित पार्टी,प्रमुख,8,0,0,0,167
67,नेपाल दलित पार्टी,उपप्रमुख,7,0,0,0,168
67,नेपाल दलित पार्टी,अध्यक्ष,4,0,0,0,169
67,नेपाल दलित पार्टी,उपाध्यक्ष,4,0,0,0,170
67,नेपाल दलित पार्टी,वडा अध्यक्ष,24,0,0,0,171
67,नेपाल दलित पार्टी,महिला सदस्य,16,0,0,0,172
67,नेपाल दलित पार्टी,दलित महिला सदस्य,10,0,0,0,173
67,नेपाल दलित पार्टी,सदस्य,23,0,0,0,174
68,"नयाँ शक्ति पार्टी, नेपाल",प्रमुख,45,0,0,0,175
68,"नयाँ शक्ति पार्टी, नेपाल",उपप्रमुख,29,0,0,0,176
68,"नयाँ शक्ति पार्टी, नेपाल",अध्यक्ष,52,0,0,0,177
68,"नयाँ शक्ति पार्टी, नेपाल",उपाध्यक्ष,32,1,0,1,178
68,"नयाँ शक्ति पार्टी, नेपाल",वडा अध्यक्ष,332,7,0,5,179
68,"नयाँ शक्ति पार्टी, नेपाल",महिला सदस्य,206,4,0,11,180
68,"नयाँ शक्ति पार्टी, नेपाल",दलित महिला सदस्य,149,4,0,6,181
68,"नयाँ शक्ति पार्टी, नेपाल",सदस्य,432,13,0,0,182
69,विवेकशील नेपाली दल,प्रमुख,1,0,0,0,183
69,विवेकशील नेपाली दल,वडा अध्यक्ष,2,0,0,0,184
70,समाजवादी जनता पार्टी,प्रमुख,2,0,0,0,185
70,समाजवादी जनता पार्टी,उपप्रमुख,1,0,0,0,186
70,समाजवादी जनता पार्टी,सदस्य,1,0,0,0,187
73,नेपाल पूर्वराष्ट्रसेवक लोकतान्त्रिक पार्टी,प्रमुख,1,0,0,0,188
73,नेपाल पूर्वराष्ट्रसेवक लोकतान्त्रिक पार्टी,उपप्रमुख,2,0,0,0,189
73,नेपाल पूर्वराष्ट्रसेवक लोकतान्त्रिक पार्टी,वडा अध्यक्ष,4,0,0,0,190
73,नेपाल पूर्वराष्ट्रसेवक लोकतान्त्रिक पार्टी,महिला सदस्य,2,0,0,0,191
73,नेपाल पूर्वराष्ट्रसेवक लोकतान्त्रिक पार्टी,दलित महिला सदस्य,2,0,0,0,192
73,नेपाल पूर्वराष्ट्रसेवक लोकतान्त्रिक पार्टी,सदस्य,10,0,0,0,193
80,नेपाल लोकतान्त्रिक जनता कांग्रेस पार्टी,उपप्रमुख,1,0,0,0,194
80,नेपाल लोकतान्त्रिक जनता कांग्रेस पार्टी,सदस्य,1,0,0,0,195
999,स्वतन्त्र,प्रमुख,239,2,0,3,196
999,स्वतन्त्र,उपप्रमुख,144,0,0,2,197
999,स्वतन्त्र,अध्यक्ष,213,1,0,8,198
999,स्वतन्त्र,उपाध्यक्ष,101,0,0,2,199
999,स्वतन्त्र,वडा अध्यक्ष,1190,31,0,50,200
999,स्वतन्त्र,महिला सदस्य,267,9,0,27,201
999,स्वतन्त्र,दलित महिला सदस्य,143,14,0,18,202
999,स्वतन्त्र,सदस्य,914,34,0,0,203
